Time,T1,T2,T3,T4,T5,T6,T7,T8
20240628T173115,32.0,32.1,40.3,69.4,74.0,79.3,114.5,92.5
20240628T173120,32.0,32.2,40.4,69.4,74.0,79.3,114.5,92.5
20240628T173125,32.0,32.2,40.5,69.3,74.0,79.3,114.6,92.5
20240628T173130,32.0,32.2,40.5,69.3,74.0,79.3,114.6,92.5
20240628T173135,32.0,32.2,40.5,69.3,73.9,79.3,114.6,92.5
20240628T173140,32.0,32.2,40.6,69.3,73.9,79.3,114.7,92.5
20240628T173146,32.0,32.2,40.6,69.2,73.9,79.3,114.7,92.4
20240628T173151,32.0,32.2,40.6,69.2,73.9,79.2,114.7,92.4
20240628T173156,32.1,32.3,40.7,69.1,73.8,79.2,114.8,92.4
20240628T173201,32.1,32.3,40.8,69.1,73.8,79.2,114.8,92.4
20240628T173206,32.1,32.3,40.8,69.1,73.8,79.2,114.8,92.4
20240628T173211,32.1,32.3,40.8,69.1,73.7,79.2,114.9,92.4
20240628T173217,32.2,32.3,40.9,69.0,73.7,79.2,114.9,92.3
20240628T173223,32.2,32.3,41.0,69.0,73.7,79.2,115.0,92.3
20240628T173228,32.2,32.3,41.0,69.0,73.7,79.2,115.0,92.3
20240628T173233,32.2,32.4,41.1,68.9,73.6,79.2,115.0,92.2
20240628T173238,32.2,32.4,41.1,68.9,73.6,79.2,115.0,92.2
20240628T173243,32.1,32.3,41.0,68.7,73.5,79.1,114.9,92.1
20240628T173248,32.1,32.3,41.1,68.7,73.5,79.1,115.0,92.1
20240628T173253,32.2,32.3,41.1,68.7,73.4,79.1,115.0,92.1
